Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 2984: Restauração/ Conservação e Preservação de 
Patrimônio Histórico",Município 52957: São Sebastião do Rio Preto
Linha de Fornecimento 2985: Inatalação/Manutenção - Circuito Fechado TV,Município 52973: São Sebastião do Rio Verde
Linha de Fornecimento 2986: Instalação / Manutenção Bombas Hidráulicas,Município 52990: São Tiago
"Linha de Fornecimento 2987: Informática - Suporte Técnico ( Software / 
Equipamentos )",Município 53015: São Tomas de Aquino
Linha de Fornecimento 2988: Assinatura de Periodicos Oficiais,Município 53031: SÃO TOMÉ DAS LETRAS
Linha de Fornecimento 2989: LOCAÇÃO APARELHO TRANSMISSÃO/RECEPÇÃO MENSAGENS,Município 53058: São Vicente de Minas
"Linha de Fornecimento 2990: Fornecimento Passagem Rodoviária - Menor Taxa 
de Serviço",Município 53074: Sapucaí-Mirim
Linha de Fornecimento 2991: Manutenção em Equipamento de Absorção Atômica,Município 53090: Sardoá
Linha de Fornecimento 2992: Curso Autocad,Município 53112: Senador Cortes
Linha de Fornecimento 2993: Fornecimento Cartão / Crédito Telefone Celular,Município 53139: Senador Firmino
Linha de Fornecimento 2994: Fiscalização Obras Civis,Município 53155: Senador José Bento
Linha de Fornecimento 2995: Curso Tratamento / Manutenção Piscina,Município 53171: Senador Modestino Gonçalves
Linha de Fornecimento 2996: Instalação / Manutenção - Rede Distribuição Gás,Município 53198: Senhora de Oliveira
"Linha de Fornecimento 2997: Locação/Manutenção - Equipamento Controle 
Acesso Pessoa",Município 53210: Senhora do Porto
"Linha de Fornecimento 2998: Assinatura de Jornais e Periódicos Acesso 
Sistema On-line",Município 53236: Senhora dos Remédios
Linha de Fornecimento 2999: Locação Pré-Moldados de Concreto,Município 53252: Sericita
Linha de Fornecimento 3000: Serviço Especializado em Assistência Social,Município 53279: Seritinga
Linha de Fornecimento 3001: Pagamento Fatura Telefônica,Município 53295: Serra Azul de Minas
"Linha de Fornecimento 3002: Prestação de Serviço de Reprografia Envolvendo 
Equipamento /Operação/Suprimentos - Reprodução Cor Preta",Município 53317: Serra da Saudade
"Linha de Fornecimento 3003: Prestação de Serviço de Reprografia Envolvendo 
Equipamento/Operação/Suprimentos - Reprodução Colorida",Município 53333: Serra dos Aimorés
"Linha de Fornecimento 3004: Prestação de Serviço de Reprografia - Locação 
de EquipamentoReprodução Cor Preta",Município 53350: Serra do Salitre
"Linha de Fornecimento 3005: Prestação de Serviço de Reprografia - Locação 
de EquipamentoReprodução Colorida",Município 53376: Serrania
"Linha de Fornecimento 3006: Prestação de Serviço de Reprografia - Operação 
de Equipamen-to",Município 53392: Serranos
"Linha de Fornecimento 3007: Prestação de Serviço de Transporte Para 
Servidor - Diária de2ª a 6ª-feira",Município 53414: Serro
"Linha de Fornecimento 3008: Prestação de Serviço de Reprografia - Locação 
de EquipamentoReprocuçãO Cor Preta",Município 53430: Sete Lagoas
"Linha de Fornecimento 3009: Prestação de Serviço de Transporte Para 
Servidor - Diária de2ª a Domingo",Município 53457: Silveirânia
"Linha de Fornecimento 3010: Prestação de Serviço de Reprografia - Locação 
de EquipamentoReprodução Colorida",Município 53473: Silvianópolis
"Linha de Fornecimento 3011: Prestação de Serviço de Transporte Para 
Servidor - Diária deSábado / Domingo / Feriados",Município 53490: Simão Pereira
"Linha de Fornecimento 3012: Prestação de Serviço de Transporte Para Serviço 
- Mensal de 2ª a 6ª-Feira",Município 53511: Simonésia
"Linha de Fornecimento 3013: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaNacional - Perc. Desconto Sobre Volume Total de Vendas",Município 53538: Sobrália
"Linha de Fornecimento 3014: Prestação de Serviço de Transporte Para 
Servidor - Mensal de2ª a Domingo",Município 53554: Soledade de Minas
"Linha de Fornecimento 3015: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaNacional - Perc. Desconto Sobre Comissão Vendas",Município 53570: Tabuleiro
"Linha de Fornecimento 3016: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaInternacional - Perc. Desconto Sobre Volume Total de Vendas",Município 53597: Taiobeiras
"Linha de Fornecimento 3017: Prestação de Serviço de Transporte Para 
Servidor - Mensal deSábado / Domingo / Feriados",Município 53619: Tapira
"Linha de Fornecimento 3018: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaInternacional - Perc. Desconto Sobre Comissão Vendas",Município 53635: Tapiraí
"Linha de Fornecimento 3019: Prestação de Serviço de Transporte Para 
Servidor - Por Hora",Município 53651: Taquaraçu de Minas
"Linha de Fornecimento 3020: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter NAS - 44 Horas Semanais Diurnas - Produtividade 600 m2",Município 53678: Tarumirim
"Linha de Fornecimento 3021: Prestação de Serviço de Transpoorte Para 
Servidor - Conduçãode Veículo - 44 Horas Semanais Diurnas",Município 53694: Teixeiras
"Linha de Fornecimento 3022: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter nas - 12 Horas Diurnas - 2ª a Domingo - Outra Produtividade",Município 53716: Teófilo Otoni
"Linha de Fornecimento 3023: Prestação de Serviço de Transporte Para 
Servidor - 12 Horas Diurnas de 2ª a 6ª-Feira",Município 53732: Timóteo
"Linha de Fornecimento 3024: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas - 12 Horas Diurnas - 2ª a 6ª Feira - Outra Produtividade",Município 53759: Tiradentes
"Linha de Fornecimento 3025: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas-12 Horas Diurnas-Sáb/Dom e Feriado - Outra Produtividade",Município 53775: Tiros
"Linha de Fornecimento 3026: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - 44 Horas Semanais Diurnas",Município 53791: Tocantins
"Linha de Fornecimento 3027: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas - 12 Horas Noturnas - 2ª a Domingo - Outra Produtividade",Município 53813: Toledo
"Linha de Fornecimento 3028: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas-12 Horas Noturnas - 2ª a 6ª Feira - Outra Produtividade",Município 53830: Tombos
"Linha de Fornecimento 3029: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - 12 Horas Diurnas de 2ª a Domingo",Município 53856: Três Corações
"Linha de Fornecimento 3030: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas-12 Horas Noturnas-Sáb/Dom e Feriado-Outra Produtividade",Município 53872: Três Pontas
"Linha de Fornecimento 3031: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - 44 Horas Semanais Diurnas - Produtividade 1.200 m2",Município 53899: Tumiritinga
"Linha de Fornecimento 3032: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - 12 Horas Diurnas de Sábado / Domingo / 
Feriados",Município 53910: Tupaciguara
"Linha de Fornecimento 3033: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - 12 Horas Diurnas - 2ª a Domingo - Outra Produtividade",Município 53937: Turmalina
"Linha de Fornecimento 3034: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - 12 Horas Noturnas de 2ª a 6ª-Feira",Município 53953: Turvolândia
"Linha de Fornecimento 3035: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - 12 Horas Diurnas - 2ª a 6ª Feira - Outra Produtividade",Município 53970: Ubá
"Linha de Fornecimento 3036: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas-12 Horas Diurnas-Sáb/Dom e Feriado - Outra Produtividade",Município 53996: Ubaí
"Linha de Fornecimento 3037: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - 12 Horas Noturnas de 2ª a Domingo",Município 54011: Uberaba
"Linha de Fornecimento 3038: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -44 Horas Semanais Diurnas",Município 54038: Uberlândia
"Linha de Fornecimento 3039: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - 12 Horas Noturnas - 2ª a Domingo - Outra Produtividade",Município 54054: Umburatiba
"Linha de Fornecimento 3040: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas-12 Horas Noturnas - 2ª a 6ª Feira - Outra Produtividade",Município 54070: Unaí
"Linha de Fornecimento 3041: Prestação de serviço de Transporte Para 
Servidor - Conduçãode Veículo - 12 Horas Noturnas de Sábado/Domingo/Feriados",Município 54097: Urucânia
"Linha de Fornecimento 3042: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas-12 Horas Noturnas-Sáb/Dom e Feriado-Outra Produtividade",Município 54119: Vargem Bonita
"Linha de Fornecimento 3043: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - Por Hora",Município 54135: Varginha
"Linha de Fornecimento 3044: Prestação de Serviço de Limpeza e Conservação - 
Esquadrias Externas - Freqüência 16H/Mensal - Produtividade 220 m2",Município 54151: Várzea da Palma
"Linha de Fornecimento 3045: Prestação de serviço de Transporte Para 
Servidor EnvolvendoVeículo/Condução/Manutenção/Combustível-44H Semanais 
Diurnas",Município 54178: Varzelândia
"Linha de Fornecimento 3046: Prestação de Serviço de Limpeza e Conservação - 
Fachadas Envidraçadas - Freqüência 8H/Semestre - Produtividade 110 m2",Município 54194: Vazante
"Linha de Fornecimento 3047: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares - 44 Horas Semanais Diurnas - Produtividade 330 m2",Município 54216: Wenceslau Braz
"Linha de Fornecimento 3048: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares-12 Horas Diurnas- 2ª a Domingo - Outra Produtividade",Município 54232: Veríssimo
"Linha de Fornecimento 3049: Prestação de serviço de Transporte Para 
Servidor EnvolvendoVeic/Condução/Manut/Combustível-12H Diurnas de 2ª a 
6ª-Feira",Município 54259: Vespasiano
"Linha de Fornecimento 3050: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares-12 Horas Diurnas-2ª a 6ª Feira - Outra Produtividade",Município 54275: Viçosa
"Linha de Fornecimento 3051: Prestação de Serviço de Limpeza e 
Conservação-Áreas Hospita-lares-12 Horas Diurnas-Sáb/Dom e Feriado-Outra 
Produtividade",Município 54291: Vieiras
"Linha de Fornecimento 3052: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -12 Horas Diurnas - 2ª a Domingo",Município 54313: Mathias Lobato
"Linha de Fornecimento 3053: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares-12 Horas Noturnas - 2ª a Domingo-Outra Produtividade",Município 54330: Virgem da Lapa
"Linha de Fornecimento 3054: Prestação de Serviço de Transporte Para 
Servidor EnvolvendoVeíc/Condução/Manut/Combustível-12H Diurnas de 2ª a 
Domingo",Município 54356: Virginia
"Linha de Fornecimento 3055: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares-12 Horas Noturnas-2ª a 6ª Feira-Outra Produtividade",Município 54372: Virginópolis
"Linha de Fornecimento 3056: Prestação de Serviço de Limpeza e 
Conservação-Áreas Hospila-lares-12 Horas Noturnas-Sáb/Dom/Feriado-Outra 
Produtividade",Município 54399: Virgolândia
"Linha de Fornecimento 3057: Prestação de serviço de Transporte Para 
Servidor EnvolvendoVeíc/Condução/Manut/Combustível-12H Diurnas 
Sab/Dom/Feriados",Município 54410: Visconde do Rio Branco
"Linha de Fornecimento 3058: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -12 Horas Diurnas - 2ª A 6ª-Feira",Município 54437: Volta Grande
"Linha de Fornecimento 3059: Prestação de Serviço de Transporte Para 
Servidor Envolvendo Veículo/Condução/Manutenção/Combustível - 12 Horas 
Noturnas",Município 54453: Saltinho
"Linha de Fornecimento 3060: Prestação de Serviço de Transporte Para 
Servidor EnvolvendoVeic/Conduc/Manut/Combustível-12H Noturnas de Seg a 
Domingo",Município 54470: São Lourenço da Serra
"Linha de Fornecimento 3061: Prestação de Serviço de Transporte Para 
Servidor EnvolvendoVeíc/Conduc/Manut/Combustível - 12H Noturnas de Seg a 
Sexta",Município 54496: Doutor Ulysses
"Linha de Fornecimento 3062: Prestação de Serviço de Transporte Para 
Servidor EnvolvendoVeic/Conduc/Manut/Combustível-12H Noturnas 
Sab/Dom/Feriados",Município 54518: Itaperuçu
"Linha de Fornecimento 3063: PRESTAçãO DE SERVIçO DE VIGILâNCIA E SEGURANçA 
- ORGâNICA - 12 Horas Diurnas - Sábado/Domingo/Feriados",Município 54534: Pinhais
"Linha de Fornecimento 3064: Prestação de Serviço de Vigilância e Segurança 
- Orgânica - 12 Horas Noturnas - 2ª a Domingo ´Inativo´",Município 54550: Tunas do Paraná
"Linha de Fornecimento 3065: Prestação de Serviço de Vigilância e Segurança 
- Orgânica - 12 Horas Noturnas - 2ª a 6ª-Feira ´Inativo´",Município 54577: Nova Santa Bárbara
"Linha de Fornecimento 3066: Prestação de Serviço de Vigilância e Segurança 
- Orgânica - 12 Horas Noturnas - Sábado/Domingo/Feriados ´Inativo´",Município 54593: Mauá da Serra
"Linha de Fornecimento 3067: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -24 Horas Diuturnas",Município 54615: Pitangueiras
"Linha de Fornecimento 3068: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Diurnas - 2ª a Domingo",Município 54631: Anahy
"Linha de Fornecimento 3069: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Diurnas - 2ª a 6ª-Feira",Município 54658: Diamante do Sul
"Linha de Fornecimento 3070: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Diurnas - Sábado/Domingo/Feriados",Município 54674: Iguatu
"Linha de Fornecimento 3071: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Noturnas - 2ª a Domingo",Município 54690: Santa Lúcia
"Linha de Fornecimento 3072: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Noturnas - 2ª a 6ª-Feira",Município 54712: Boa Esperança do Iguacu
"Linha de Fornecimento 3073: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica12 Horas Noturnas - Sábado/Domingo/Feriados",Município 54739: Cruzeiro do Iguaçu
"Linha de Fornecimento 3074: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica24 Horas Diuturnas",Município 54755: Flor da Serra do Sul
"Linha de Fornecimento 3075: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 44 Horas Semanais Diurnas",Município 54771: Nova Esperança do Sudoeste
"Linha de Fornecimento 3076: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 12 Horas Diurnas - 2ª a Domingo",Município 54798: Nova Laranjeiras
"Linha de Fornecimento 3077: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 12 Horas Diurnas - 2ª A 6ª-Feira",Município 54810: Rio Bonito do Iguaçu
"Linha de Fornecimento 3078: Prestação de Serviço de Vigilância e Segurança 
- Orgânica e Eletrônica (Integrada) - 12 Horas Diurnas - Sáb/Dom/Feriados",Município 54836: Virmond
"Linha de Fornecimento 3079: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 12 Horas Noturnas - 2ª a Domingo",Município 54852: Iracema do Oeste
"Linha de Fornecimento 3080: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 12 Horas Noturnas - 2ª a 6ª-Feira",Município 54879: Maripá
"Linha de Fornecimento 3081: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 24 Horas Diuturnas",Município 54895: São Pedro do Iguaçu
"Linha de Fornecimento 3082: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -12 Horas Diurnas - Sábado / Domingo / Feriados",Município 54917: Cafezal do Sul
"Linha de Fornecimento 3083: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -12H Noturnas - 2ª a Domingo",Município 54933: Saudade do Iguaçu
"Linha de Fornecimento 3084: Prestação de Serviço de Vigilância e Segurança 
- Orgânica 12H Noturnas - 2ª a 6ª-Feira",Município 54950: Pinhal do São Bento
"Linha de Fornecimento 3085: Prestação de Serviço de Vigilância e Segurança 
- Orgânica -12 Horas Noturnas - Sábado / Domingo / Feriados",Município 54976: Ventania
"Linha de Fornecimento 3086: Prestação de Serviço de Vigilância e Segurança 
- Orgânica eEletrônica (Integrada) - 12H Noturnas - Sáb/Dom/Feriados",Município 54992: Candói
"Linha de Fornecimento 3087: Prestação de Serviços de Informática Operação 
de Computador",Município 55018: Laranjal
"Linha de Fornecimento 3088: Prestação de Serviço de Vigilância e Segurança 
- Orgânica - 44 Horas Semanais Noturnas",Município 55034: Mato Rico
Linha de Fornecimento 3089: SERVIÇO DE VIGILÂNCIA ARMADA,Município 55050: Santa Maria do Oeste
"Linha de Fornecimento 3090: Prestação de Serviço de Limpeza e Conservação - 
Outras Necessidades",Município 55077: Lidianópolis
"Linha de Fornecimento 3091: Prestação de Serviço de Limpeza e Conservação - 
Áreas Inter-nas - 44 Horas Semanais Diurnas - Outra Produtividade",Município 55093: Ângulo
"Linha de Fornecimento 3092: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - 44 Horas Semanais Diurnas - Outra Produtividade",Município 55115: Farol
"Linha de Fornecimento 3093: Prestação de Serviço de Limpeza e Conservação - 
Esquadrias Externas - Freqüência 16H/Mensal - Outra Produtividade",Município 55131: Rancho Alegre D´Oeste
"Linha de Fornecimento 3094: Prestação de Serviço de Limpeza e Conservação - 
Fachadas Envidraçadas - Freqüência 8H/Semestre - Outra Produtividade",Município 55158: SAO MANOEL DO PARANA
"Linha de Fornecimento 3095: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares - 44 Horas Semanais Diurnas - Outra Produtividade",Município 55174: Novo Itacolomi
"Linha de Fornecimento 3096: Prestação de Serviço de Reprografia - Outras 
Necessidades",Município 55190: Santa Monica
"Linha de Fornecimento 3097: Prestação de Serviço de Limpeza e Conservação - 
Áreas Internas - Outras Necessidades - Outra Produtividade",Município 55212: Brasilândia do Sul
"Linha de Fornecimento 3098: Prestação de Serviço de Limpeza e Conservação - 
Áreas Exter-nas - Outras Necessidades.",Município 55239: Vila Alta
"Linha de Fornecimento 3099: Prestação de Serviço de Limpeza e Conservação - 
Esquadrias Externas - Outras Necessidades - Outra Produtividade",Município 55255: Itaipulândia
"Linha de Fornecimento 3100: Prestação de Serviço de Limpeza e Conservação - 
Fachadas Envidraçadas - Outras Necessidades - Outra Produtividade",Município 55271: Ramilândia
"Linha de Fornecimento 3101: Prestação de Serviço de Limpeza e Conservação - 
Áreas Hospi-talares - Outras Necessidades - Outra Produtividade",Município 55298: Entre Rios do Oeste
"Linha de Fornecimento 3102: Prestação de Serviço de Vigilância e Segurança 
- Orgânica - Outras Necessidades",Município 55310: Mercedes
"Linha de Fornecimento 3103: Prestação de Serviço de Vigilância e Segurança 
- Eletrônica-Outras Necessidades",Município 55336: Pato Bragado
"Linha de Fornecimento 3104: Prestação de Serviço de Vigilância e Segurança 
- Orgânica e Eletrônica (Integrada) - Outras Necessidades",Município 55352: Quatro Pontes
"Linha de Fornecimento 3105: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaNac e Internac - Desc Sobre Volume Total de Vendas",Município 55379: Bombinhas
"Linha de Fornecimento 3106: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaNac e Internac - Desc Sobre Comissão Vendas",Município 55395: Morro Grande
"Linha de Fornecimento 3107: Prestação de Serviço de Transporte Para 
Servidor - Outras Necessidades",Município 55417: Passo de Torres
"Linha de Fornecimento 3108: Prestação de Serviço de Transporte Para 
Servidor - Conduçãode Veículo - Outras Necessidades",Município 55433: Cocal do Sul
"Linha de Fornecimento 3109: Prestação de serviço de Transporte Para 
Servidor Envolvendo Veículo/Condução/Manutenção/Combustível-Outras 
Necessidades",Município 55450: Capivari de Baixo
"Linha de Fornecimento 3110: Prestação de Serviço de Transporte Para 
Servidor - Outras Necessidades ´Inativo´",Município 55476: Sangão
"Linha de Fornecimento 3111: Prestação de Serviço de Jardinagem - Canteiros 
Ornamentais -44H Semanais Diurnas - 300 M2/Mês",Município 55492: Barra do Sul
"Linha de Fornecimento 3112: Prestação de Serviço de Jardinagem - Canteiros 
Ornamentais -44h Semanais Diurnas - Outra Produtividade",Município 55514: São João do Itaperiú
"Linha de Fornecimento 3113: Prestação de Serviço de Jardinagem - Canteiros 
Ornamentais -Outras Necessidades - Outra Produtividade",Município 55530: Calmon
"Linha de Fornecimento 3114: Prestação de Serviço de Jardinagem - Gramados 
-44H Semanais Diurnas - 900 M2/Mês",Município 55557: Santa Terezinha
"Linha de Fornecimento 3115: Prestação de Serviço de Jardinagem - Gramados - 
44H SemanaisDiurnas - Outra Produtividade",Município 55573: Braço do Trombudo
"Linha de Fornecimento 3116: Prestação de Serviço de Jardinagem - Gramados - 
Outras Necessidades - Outra Produtividade",Município 55590: Mirim Doce
"Linha de Fornecimento 3117: Prestação de Serviço de Jardinagem - Áreas 
Brutas - 44H Semanais Diurnas - 600 M2/Mês",Município 55611: Monte Carlo
"Linha de Fornecimento 3118: Prestação de Serviço de Jardinagem - Áreas 
Brutas - 44H Semanais Diurnas - Outra Produtividade",Município 55638: Vargem
"Linha de Fornecimento 3119: Prestação de Serviço de Jardinagem - Áreas 
Brutas - Outras necessidades - Outra Produtividade",Município 55654: Vargem Bonita
"Linha de Fornecimento 3120: Prestação de Serviço de Jardinagem - Outros 
Serviços - OutraProdutividade",Município 55670: Cerro Negro
Linha de Fornecimento 3121: Serviço de Licença pelo Uso de Software,Município 55697: Ponte Alta do Norte
"Linha de Fornecimento 3122: Serviço de Transporte para Servidor Envolvendo 
Veículo/Manu-tenção/Combustível - 24 Horas Ininterruptas - Seg a Domingo",Município 55719: Rio Rufino
Linha de Fornecimento 3123: Serviço de reciclagem de resíduos não Metálicos,Município 55735: São Cristovão do Sul
Linha de Fornecimento 3124: Serviço Manutenção / Reforma - Prótese,Município 55751: Macieira
Linha de Fornecimento 3125: Instalação e Montagem de Palco,Município 55778: Águas Frias
"Linha de Fornecimento 3126: Elaboração de Minuta de Edital para Concurso de 
Seleção de Projetos",Município 55794: Cordilheira Alta
Linha de Fornecimento 3127: Serviços de Produção e Negócios,Município 55816: Formosa do Sul
"Linha de Fornecimento 3128: Serviço de Blindagem Industrial,Comercial e 
Residencial(Construção e Montagem)",Município 55832: Guatambu
"Linha de Fornecimento 3129: Serviço de locação de materiais blindados em 
geral",Município 55859: Irati
Linha de Fornecimento 3130: Consulta Médica Urologia,Município 55875: Jardinópolis
Linha de Fornecimento 3131: Consulta Médica Cirurgião Geral,Município 55891: Nova Itaberaba
Linha de Fornecimento 3132: Consulta Médica - Proctologia,Município 55913: Novo Horizonte
"Linha de Fornecimento 3133: Análise / Identificação / Classificação de 
Pragas",Município 55930: Planalto Alegre
Linha de Fornecimento 3134: Serviços de Manutenção Aeroportuária,Município 55956: Sul Brasil
Linha de Fornecimento 3135: Lavagem Painel Divisório,Município 55972: Arabutá
Linha de Fornecimento 3136: Lançamento Linhas Flexíveis,Município 55999: Arvoredo
Linha de Fornecimento 3137: Construção Montagem de Dutos Terrestre,Município 56014: Afonso Cláudio
Linha de Fornecimento 3138: Assessoria,Município 56030: Alegre
Linha de Fornecimento 3139: Serviço Técnico Especializado ´inativo´,Município 56057: Alfredo Chaves
Linha de Fornecimento 3140: Manutenção Pista Duto,Município 56073: Anchieta
Linha de Fornecimento 3141: Manutenção Industrial,Município 56090: Apiaca
Linha de Fornecimento 3142: Manutenção Equipamentos Estáticos,Município 56111: Aracruz
Linha de Fornecimento 3143: Manutenção Equipamentos Dinâmicos,Município 56138: Atílio Vivácqua
Linha de Fornecimento 3144: Manutenção - Troca de Catalizador,Município 56154: Baixo Guandu
Linha de Fornecimento 3145: Manutenção - Equipamentos de Poços,Município 56170: Barra de São Francisco
Linha de Fornecimento 3146: Locação Sonda Perfuração e Produção,Município 56197: Boa Esperança
Linha de Fornecimento 3147: Manutenção - Planejamento de Serviços,Município 56219: Bom Jesus do Norte
Linha de Fornecimento 3148: Locação Sondas e Plataformas - Transhipment,Município 56235: Cachoeiro de Itapemirim
"Linha de Fornecimento 3149: Estudos e Projetos - Base/Tancagens - 
Subterrânea",Município 56251: Cariacica
Linha de Fornecimento 3150: Estudo e Projetos de Dutos Terrestres,Município 56278: Castelo
Linha de Fornecimento 3151: Estudos e Projetos de Dutos Marítimos,Município 56294: Colatina
Linha de Fornecimento 3152: Estudos e Projetos de Terminais Marítimos,Município 56316: Conceição da Barra
Linha de Fornecimento 3153: Estudos e Projetos de Proteção Catódica,Município 56332: Conceição do Castelo
"Linha de Fornecimento 3154: Estudos e Projetos - Base/Tancagem - 
Movimentação Produtos",Município 56359: Divino de São Lourenço
"Linha de Fornecimento 3155: Projetos de Sistemas de Geração e Distribuição 
de Vapor",Município 56375: Domingos Martins
"Linha de Fornecimento 3156: Operação de Veículo Submarino com Controle 
Remoto - ROV",Município 56391: Dores do Rio Preto
Linha de Fornecimento 3157: Transporte Dutoviário,Município 56413: Ecoporanga
Linha de Fornecimento 3158: Tratamento de Resíduos,Município 56430: Fundão
Linha de Fornecimento 3159: Serviços em Poços de Petróleo,Município 56456: Guaçui
Linha de Fornecimento 3160: Investimento Coligada/Controlada,Município 56472: Guarapari
Linha de Fornecimento 3161: Patrocínio,Município 56499: Ibiraçú
Linha de Fornecimento 3162: Doação,Município 56510: Iconha
Linha de Fornecimento 3163: Pesquisa e Desenvolvimento Tecnológico,Município 56537: Itaguaçú
Linha de Fornecimento 3164: Manutenção de Hidrovias,Município 56553: Itapemirim
Linha de Fornecimento 3165: Serviço de Transporte Hidroviário,Município 56570: Itarana
"Linha de Fornecimento 3166: Implantação / Remanejamento/ Infovia / Fibra 
Óptica",Município 56596: Iuna
Linha de Fornecimento 3167: Fornecimento de Passagem Fluvial,Município 56618: Jerônimo Monteiro
Linha de Fornecimento 3168: Serviço de Ajuste e Montagem de Peças e Produtos,Município 56634: Linhares
Linha de Fornecimento 3169: Serviços de Alvenaria,Município 56650: Mantenópolis
Linha de Fornecimento 3170: Serviço de Fundição,Município 56677: Mimoso do Sul
"Linha de Fornecimento 3171: Transporte Marítimo/Costeiro e Transoceânico de 
Carga em Navios Tanques",Município 56693: Montanha
"Linha de Fornecimento 3172: Transporte Fluvial/Interior de Carga em Navios 
Tanques",Município 56715: Mucurici
Linha de Fornecimento 3173: Transporte Ferroviário de Carga por Vagão Tanque,Município 56731: Muniz Freire
"Linha de Fornecimento 3174: Transporte Rodoviário de Carga por Caminhões 
Tanque ou Tanques Semi-Trailers",Município 56758: Muqui
Linha de Fornecimento 3175: Prestação de Serviços de Sinaleiro Ferroviário,Município 56774: Nova Venécia
Linha de Fornecimento 3176: Manutenção Bafometro - Etilometro,Município 56790: Pancas
Linha de Fornecimento 3177: Serviços Correlatos a Poços Profundos,Município 56812: Pinheiros
Linha de Fornecimento 3178: Serviços de Plotagem,Município 56839: Piúma
Linha de Fornecimento 3179: Serviços de Praticagem e Atracação,Município 56855: Presidente Kennedy
"Linha de Fornecimento 3180: Instalação / Montagem / Desmontagem - Tanque 
Combustível",Município 56871: Rio Novo do Sul
"Linha de Fornecimento 3181: Estudos e Projetos - Fontes Alternativas de 
Energia Elétrica",Município 56898: Santa Leopoldina
Linha de Fornecimento 3182: Regeneração de Resina,Município 56910: Santa Teresa
Linha de Fornecimento 3183: Fornecimento Passagem Ferroviária,Município 56936: São Gabriel da Palha
Linha de Fornecimento 3184: Controle de Acesso - Bilheteiro,Município 56952: São José do Calçado
"Linha de Fornecimento 3185: Serviços de Tecnologia da Informação e Apoio 
Técnico de Atividades de Informática",Município 56979: São Mateus
